scenario,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,99.68,61.38,-403.50509467392,114028.116865132,3201.99087772032,138.485216686099,,-492.198565092364,126182.10664987,12492.6180418952,,0,138.485216686099,138.485216686099
0.5,102.52,52.18,-420.398745844722,111481.161663632,4168.81079829912,117.1206320445,,-482.907791569639,121948.635865296,12406.7875601253,,26.09,117.1206320445,143.2106320445
1,100.36,41.92,-450.104559736993,115158.052637827,5395.15165651244,87.8830418471745,,-483.856606632204,123422.428704005,12416.8301310161,,41.92,87.8830418471745,129.803041847175
1.5,103.16,33.34,-456.982901479008,114525.60922035,6628.26285011611,72.5190875124203,,-479.272840933991,121186.70719639,12557.513334078,,50.01,72.5190875124203,122.52908751242
2,101.84,24.2,-465.281277227046,116925.319680433,7648.31784817831,60.2469291642565,,-485.166247273236,122555.639284949,12501.9775554855,,48.4,60.2469291642565,108.646929164256
2.5,102.86,17.38,-452.156463204983,113698.17734469,8475.33459643081,39.5186739260725,,-457.065617425199,117293.705700096,11907.4972225155,,43.45,39.5186739260725,82.9686739260725
3,98.36,13.28,-482.192502167022,122957.556739144,9158.34812207701,36.8123099631226,,-492.645494182976,126149.608727931,12146.8972617737,,39.84,36.8123099631226,76.6523099631226
3.5,99.4,11.08,-453.224211880973,113984.563086866,9027.00568536194,32.5360173774233,,-464.285307601518,116756.465354785,11593.7195671292,,38.78,32.5360173774233,71.3160173774233
4,102.2,7.42,-459.963975556836,117521.342646694,9996.88253823937,24.3162864396344,,-469.00346848497,119553.369332259,11865.2987865802,,29.68,24.3162864396344,53.9962864396344
4.5,100.72,5.84,-431.107053076793,110165.715858291,9580.28903545121,18.8241507463458,,-439.344789054556,111804.11552651,11157.0823337986,,26.28,18.8241507463458,45.1041507463458
5,98.6,5.38,-482.15367112472,124759.237276504,10865.9618600825,23.6144838342554,,-497.093063417864,126494.749674325,12494.4101536368,,26.9,23.6144838342554,50.5144838342554
5.5,101.38,4.62,-478.450482693416,123050.344873544,11267.9872451127,20.7125437800908,,-491.289132568177,124400.784529575,12576.8344632214,,25.41,20.7125437800908,46.1225437800908
6,100.6,2.92,-420.010193006034,108867.03513977,9954.52666409853,10.3802010668429,,-425.099772039342,109682.925631616,10770.6669452022,,17.52,10.3802010668429,27.9002010668429
6.5,97.66,2.5,-436.233028078421,113715.992057927,10292.7253335418,12.9143394582069,,-445.964114830423,114461.6325344,11023.3872948661,,16.25,12.9143394582069,29.1643394582069
7,99.64,2.16,-435.682972367448,112456.032030684,10569.3565490164,11.2360259550059,,-443.650077206294,113135.475941387,11249.907646149,,15.12,11.2360259550059,26.3560259550059
7.5,97.36,2.24,-444.901399500764,113776.16988189,10704.0111461117,12.5024397046301,,-455.384378488818,114492.773350313,11420.6146145346,,16.8,12.5024397046301,29.3024397046301
8,100.86,1.74,-447.840001211722,115881.763898848,10929.3661428268,7.20507795481859,,-452.678652565707,116411.234116255,11458.9754914916,,13.92,7.20507795481859,21.1250779548186
8.5,101.1,1.58,-446.157420098516,114910.010490254,11281.9190987448,6.06821634995901,,-450.780943606918,115400.645669909,11772.5542784003,,13.43,6.06821634995901,19.498216349959
9,102.54,1.3,-430.13785491432,110292.569943274,11235.4017701836,7.29521048278318,,-436.163270910717,110684.385556139,11627.217383048,,11.7,7.29521048278318,18.9952104827832
9.5,99.1,1.06,-423.55073075659,108986.26128598,10472.7874816836,6.36943514965137,,-428.916057432923,109330.590771764,10817.1169674676,,10.07,6.36943514965137,16.4394351496514
10,102.32,0.86,-428.487933881448,110366.186466171,11034.0863621579,6.57949429089878,,-433.993913045471,110622.581508622,11290.5150112941,,8.6,6.57949429089878,15.1794942908988
10.5,101.58,1.02,-458.971991946867,117997.884496972,11822.1561725574,8.0981389287635,,-466.248288598929,118349.726390305,12173.9980658909,,10.71,8.0981389287635,18.8081389287635
11,99.5,0.8,-448.819418524444,115212.465037777,11514.8124333568,5.85360760937072,,-454.025888326567,115486.757694773,11789.1050903529,,8.8,5.85360760937072,14.6536076093707
11.5,98.06,0.78,-426.966263311584,109180.198181717,10365.1073178804,6.02089626954257,,-432.487762562659,109437.934946158,10622.8440823206,,8.97,6.02089626954257,14.9908962695426
12,98.68,0.68,-462.429701285963,119023.556310549,11521.0363784898,6.18539075609393,,-468.308698632434,119263.065501505,11760.5455694457,,8.16,6.18539075609393,14.3453907560939
12.5,100.78,0.72,-453.308725716283,115995.764526859,11409.3857272239,6.95633185956614,,-459.995752975615,116257.039730487,11670.6609308522,,9,6.95633185956614,15.9563318595661
