scenario,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
13,99.88,0.52,-450.269424569005,115365.85966018,11749.8832028537,7.04224926160802,,-457.079728804165,115557.776361647,11941.7999043203,,6.76,7.04224926160802,13.802249261608
13.5,97.62,0.68,-465.326074556422,118994.625346735,11476.1450137686,4.84917344057204,,-469.792771873447,119229.621873291,11711.1415403254,,9.18,4.84917344057204,14.029173440572
14,104.1,0.44,-460.74158542434,117672.086342384,12412.6882069588,3.97415262806695,,-464.536401392553,117843.089610509,12583.6914750842,,6.16,3.97415262806695,10.134152628067
14.5,99.12,0.38,-458.716857858453,118630.074385795,11734.17517733,3.54177949402936,,-462.041259615114,118745.312262726,11849.4130542616,,5.51,3.54177949402936,9.05177949402936
15,99.64,0.28,-418.213091793649,107794.878515378,10671.0943611576,2.38915355793103,,-420.403130790362,107898.923042184,10775.1388879642,,4.2,2.38915355793103,6.58915355793103
15.5,100.12,0.32,-462.506886205742,117887.263232109,11714.6647681029,3.8535277964867,,-466.178983455612,118014.281056936,11841.682592929,,4.96,3.8535277964867,8.81352779648671
16,99.6,0.56,-477.938343568958,121858.265866878,11766.7430248505,6.10158795614979,,-483.700124645225,122064.878585441,11973.355743414,,8.96,6.10158795614979,15.0615879561498
16.5,104.72,0.4,-460.496575133863,117363.959572921,12330.0494642307,3.90311617765276,,-464.221402296247,117502.491458298,12468.5813496076,,6.6,3.90311617765276,10.5031161776528
17,100.68,0.22,-469.349798481615,120803.565655421,12147.9359883197,3.64420296601199,,-472.908678675217,120886.536010888,12230.9063437868,,3.74,3.64420296601199,7.38420296601199
17.5,101.38,0.22,-439.05146171176,112741.634532507,11347.6780839856,3.11469848968671,,-442.102296546271,112822.833885435,11428.8774369138,,3.85,3.11469848968671,6.96469848968672
18,101.08,0.26,-473.732451579062,120779.346158882,12365.7581984664,2.25361706586208,,-475.921477610032,120874.428579098,12460.8406186817,,4.68,2.25361706586208,6.93361706586208
18.5,103.26,0.26,-489.967673422522,123922.427742261,12993.7220407598,1.88151523139395,,-491.742146979371,124017.003313764,13088.2976122625,,4.81,1.88151523139395,6.69151523139395
19,99.72,0.38,-484.075908245487,123394.021823543,11857.1322876047,2.63437703125609,,-486.626655086152,123546.745202389,12009.8556664502,,7.22,2.63437703125609,9.85437703125609
19.5,100.4,0.26,-468.884621555696,119907.492466088,12088.9190706061,1.15946082513154,,-469.89894526452,120005.043394552,12186.4699990702,,5.07,1.15946082513154,6.22946082513154
,,,,,,,,,,,,,,
,,,,,,,,-462.874512462345,,,,,,
