Scenario ,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
7,100.72,9.56,-1224.88782164875,325475.861786318,24214.265745291,100.432467313279,,-1320.5557925605,335301.614592572,33612.2089354579,,=A18*C18,=G18,=N18+M18
7.5,100.08,8.92,-1205.49483149971,318643.398600218,23381.6206132322,82.1486963136143,,-1285.11241066665,327857.106876274,31936.5642388832,,=A19*C19,=G19,=N19+M19
8,97.92,7.66,-1198.31855997015,317746.007120297,23792.3637679455,83.8446400761253,,-1279.27897874013,325523.940671157,31095.7046629984,,=A20*C20,=G20,=N20+M20
8.5,98.78,7.12,-1168.5613407434,307826.551706955,25038.3845449428,86.8923094978343,,-1252.38126188831,314753.848915304,31734.4200138456,,=A21*C21,=G21,=N21+M21
9,102.1,7,-1217.3003529746,321581.469378594,27618.0964637195,80.0847736761305,,-1294.33945915442,328638.066061846,34518.2273736344,,=A22*C22,=G22,=N22+M22
9.5,98.46,6.08,-1205.91901231466,319322.488688695,26432.7933529802,75.1221265080917,,-1279.91642569417,325913.467636978,32572.9040399711,,=A23*C23,=G23,=N23+M23
10,100.34,5.72,-1201.93046490878,317208.885771414,26045.1784547527,65.7111963010827,,-1265.20931679802,323007.551588856,31772.7442721949,,=A24*C24,=G24,=N24+M24
10.5,100.32,5.82,-1212.31908735142,319065.04217689,27446.2712828475,59.8316928908795,,-1270.11904862521,325151.514805592,33390.4046376435,,=A25*C25,=G25,=N25+M25
11,100.72,4.72,-1210.89904121729,318848.309395508,27339.2322823837,56.9571197992975,,-1265.88115661589,323779.558980631,32115.381867507,,=A26*C26,=G26,=N26+M26
11.5,99.02,4.66,-1217.0868356374,321073.770079201,27468.4595253805,51.6972715029337,,-1266.98528901248,325881.800765566,32162.4424080555,,=A27*C27,=G27,=N27+M27
12,100.26,4.32,-1213.7921640293,320191.896885182,28200.7667897367,61.7983282300477,,-1273.48123767864,324772.472086098,32781.3419906528,,=A28*C28,=G28,=N28+M28
12.5,101.62,4.34,-1179.65883598476,310078.778777354,28394.5781559174,55.8907206816975,,-1234.92488667478,314825.047998016,32954.3535663436,,=A29*C29,=G29,=N29+M29
13,98.62,4.34,-1241.73141584056,325821.05205267,27907.7231709417,62.8830668739248,,-1303.15182187422,330353.75919552,32346.2303137918,,=A30*C30,=G30,=N30+M30
13.5,101.2,4.08,-1246.07973891061,326133.689915876,28692.0130962301,68.4566244172331,,-1313.46799935072,330456.696924349,32869.5667723185,,=A31*C31,=G31,=N31+M31
14,99.64,4.14,-1256.99291058465,330468.79860911,28637.671024059,69.3927411690608,,-1325.66220508321,335077.338446393,33143.0468949662,,=A32*C32,=G32,=N32+M32
14.5,98.8,3.26,-1239.63049070289,327051.354183825,28526.1475872279,45.3181779713814,,-1284.39858195599,330508.694193309,31846.3875967118,,=A33*C33,=G33,=N33+M33
15,101.98,3.74,-1237.97560505635,321722.189675084,29726.7755767862,60.8725707602745,,-1297.97548499958,325661.018831953,33630.0116881095,,=A34*C34,=G34,=N34+M34
15.5,99.7,3.28,-1239.20766116193,323305.137735587,29198.3785046642,65.6164024880163,,-1304.09950670576,327016.0112386,32812.6698177677,,=A35*C35,=G35,=N35+M35
16,100.02,3.08,-1244.15893293821,324747.096999923,29132.8097463177,55.515475620367,,-1298.90046834295,328240.958217776,32580.4493825924,,=A36*C36,=G36,=N36+M36
16.5,99.5,3.1,-1223.1944802008,317823.300699119,28762.3852601181,38.997306216402,,-1261.31653819307,321070.707093129,31985.372806018,,=A37*C37,=G37,=N37+M37
17,100.2,2.66,-1240.47715949907,323915.022983552,29831.0589358533,38.9975448109044,,-1279.11661652314,326935.024442643,32767.960394944,,=A38*C38,=G38,=N38+M38
17.5,100.56,2.86,-1264.35963098116,328573.935715713,29898.8659735844,41.5551769037897,,-1305.46198378035,331865.707873413,33097.686766931,,=A39*C39,=G39,=N39+M39
18,100.66,2.88,-1236.74395530473,320586.910275664,29421.1732550911,46.9373130523354,,-1282.97806907934,323505.835673667,32340.0986530941,,=A40*C40,=G40,=N40+M40
18.5,98.48,2.66,-1309.8931306122,342239.013254384,31675.2332768898,42.0378088397025,,-1351.73812150028,345296.996375721,34648.6163982273,,=A41*C41,=G41,=N41+M41
19,99.5,2.5,-1260.2733800235,326133.690753082,30999.4088725489,36.9713109398497,,-1296.46654263244,328874.771172611,33700.8892920781,,=A42*C42,=G42,=N42+M42
19.5,100.9,2.34,-1228.13156737455,317720.517980735,29582.6932207978,35.165609244452,,-1262.79715449241,320013.958696208,31847.6339362704,,=A43*C43,=G43,=N43+M43
