Scenario ,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,101.6,69.46,-1022.57195660235,289686.620413408,4060.05543566698,294.489507631997,,-1291.07591833262,326239.615501563,33044.1884010427,,=A4*C4,=G4,=N4+M4
0.5,99.38,59.1,-1055.36304661266,291369.841075087,5312.41239896273,247.956021916226,,-1274.42622099185,325179.114801598,32265.2001534013,,=A5*C5,=G5,=N5+M5
1,102.3,51.34,-1074.33291747207,290629.781467726,7608.70787375334,222.008580688386,,-1263.64131598772,322057.91826991,33102.0458578113,,=A6*C6,=G6,=N6+M6
1.5,102.46,41.76,-1137.65267816628,305870.568685693,9629.4234246074,191.468965887532,,-1298.73506891554,334682.026178509,33607.6546687204,,=A7*C7,=G7,=N7+M7
2,96.6,32.86,-1146.82870415451,307596.036946813,11802.9461815265,174.211743402645,,-1292.93112375967,330630.236888958,31550.6293459217,,=A8*C8,=G8,=N8+M8
2.5,99.78,27.8,-1127.73270778253,300644.138465635,13510.556933625,176.144929381951,,-1279.78267037491,321942.604984588,32097.128318207,,=A9*C9,=G9,=N9+M9
3,100.56,25.08,-1176.6037917184,314275.264199192,15424.0553263525,157.756552943254,,-1314.50581127442,335347.000464564,33969.6365877792,,=A10*C10,=G10,=N10+M10
3.5,100.12,20.6,-1145.41074721108,305337.974235662,16777.4092687581,160.412133378996,,-1288.59615023006,322393.535370123,32365.2629920268,,=A11*C11,=G11,=N11+M11
4,99.28,17.54,-1160.96758180037,309955.518306537,18279.0408031715,126.587934363098,,-1274.07082390725,325566.609476818,32497.6484092342,,=A12*C12,=G12,=N12+M12
4.5,99.66,14.78,-1189.55448523574,318033.104448983,20102.0166925137,121.289279893661,,-1299.42062454822,331647.471969302,32733.639043036,,=A13*C13,=G13,=N13+M13
5,99.74,13,-1146.46095651823,306135.527559928,20654.5285099188,108.619577848977,,-1248.91331558396,319261.757606676,32315.0309276062,,=A14*C14,=G14,=N14+M14
5.5,99.84,13.4,-1223.43797627115,324767.597581647,21429.6761516762,109.997921775337,,-1326.76584340818,337906.539214633,33572.7798201608,,=A15*C15,=G15,=N15+M15
6,99.84,11.66,-1197.06621979688,318397.277888681,22247.8163473849,100.099715290195,,-1290.21722352403,329442.127141859,32791.4130289821,,=A16*C16,=G16,=N16+M16
6.5,101.12,10.32,-1165.27373526664,308415.030481695,23046.5843842257,99.1096366413296,,-1260.95627058962,318645.401872662,32473.3350338334,,=A17*C17,=G17,=N17+M17
