scenario,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
8.5,99.24,3.48,-769.520549828151,200107.692440556,17835.2566091044,30.9883888834002,,-798.215742155748,202302.040025262,19872.2075271447,,=A21*C21,=G21,=N21+M21
9,100.44,3.42,-842.396508134155,220419.787268433,20370.0957866252,29.1109796001041,,-868.898771304488,222458.711119073,22320.6946893069,,=A22*C22,=G22,=N22+M22
9.5,99.46,3,-791.687373535247,205080.393904676,19422.606638853,23.9253098452378,,-813.457433843917,206764.303305231,21060.3160394078,,=A23*C23,=G23,=N23+M23
10,98.62,2.98,-811.309440189476,212375.557018419,19174.8126527721,25.0520785734261,,-835.260292013648,214373.016542045,20933.5766385565,,=A24*C24,=G24,=N24+M24
10.5,100.18,2.26,-797.625644853255,209083.068343145,19442.3852608865,17.7209605969565,,-814.139723452669,210352.763573009,20681.680490751,,=A25*C25,=G25,=N25+M25
11,100.7,2.04,-782.415934721282,203870.693909831,19601.1595634556,16.7385020148363,,-797.85597797741,205012.274928245,20742.7405818699,,=A26*C26,=G26,=N26+M26
11.5,99.54,1.94,-710.096533652982,183211.233768269,17587.9214575378,15.5781709032477,,-724.807240891375,184258.284643402,18593.1723326709,,=A27*C27,=G27,=N27+M27
12,98.12,2.06,-770.501516953823,199233.647057638,18358.1167813697,29.9300184778559,,-799.702553277961,200445.313005319,19569.7827290501,,=A28*C28,=G28,=N28+M28
12.5,99.62,1.54,-741.21392271221,193144.621425428,18782.6129374457,18.1055922670569,,-758.769261269851,194010.934210181,19648.9257221979,,=A29*C29,=G29,=N29+M29
13,103.18,2,-776.259088680906,200418.978147228,19277.8294360007,22.1637667012222,,-797.358330067061,201594.411755073,20453.2630438448,,=A30*C30,=G30,=N30+M30
13.5,100.5,1.64,-794.073920115376,205743.436078171,19576.6211046076,22.7140027972381,,-816.274334674558,206861.742241803,20668.72726824,,=A31*C31,=G31,=N31+M31
14,98.4,1.58,-809.623799260041,211103.759959393,19452.0985330275,14.5492339252555,,-823.498661688445,212137.278766261,20485.617339896,,=A32*C32,=G32,=N32+M32
14.5,99.78,1.48,-809.497037219891,209752.444664437,19874.3589624536,18.8684573526799,,-827.697306864645,210688.747406981,20810.6617049969,,=A33*C33,=G33,=N33+M33
15,98.38,1.1,-809.338628776597,209808.117560062,19866.9906950036,10.9816695727548,,-819.792794301557,210529.673717058,20588.5468519995,,=A34*C34,=G34,=N34+M34
15.5,97.74,1.74,-875.778295680703,225976.52888601,21189.3004015419,24.7893427537309,,-899.859727808893,226996.062748737,22208.8342642691,,=A35*C35,=G35,=N35+M35
16,99.44,1.32,-792.097857826711,202067.774189792,20112.1846580113,14.7286443980408,,-806.202068597744,202781.948423798,20826.3588920178,,=A36*C36,=G36,=N36+M36
16.5,101.04,1.48,-866.158096105392,222241.137058981,21300.4522827018,17.7998837611159,,-883.502057237013,223208.66913706,22249.0721537157,,=A37*C37,=G37,=N37+M37
17,98.54,1.04,-818.812434379323,211643.09409879,20579.5005198741,12.8734267503245,,-831.442470046759,212274.305682093,21210.7121031767,,=A38*C38,=G38,=N38+M38
17.5,101.04,1.02,-817.881957234272,210247.381414813,20869.3942977091,14.6692494079169,,-832.089817433889,210899.872205374,21521.8850882697,,=A39*C39,=G39,=N39+M39
18,100.26,0.82,-848.038223004235,218696.135787324,21038.5016106245,8.03468234042324,,-855.337711814847,219205.506140687,21547.8719639878,,=A40*C40,=G40,=N40+M40
18.5,100.48,0.8,-759.079043064125,194663.204312377,19012.5623998121,12.2958563412209,,-771.075155457306,195123.683016504,19473.0411039398,,=A41*C41,=G41,=N41+M41
19,99.18,0.86,-766.585371465647,197647.574751611,19045.2602946766,8.86677974986345,,-775.12522375881,198165.674591455,19563.3601345196,,=A42*C42,=G42,=N42+M42
19.5,99,0.72,-788.294822208403,204327.254009398,19741.6080203034,11.797500487756,,-799.771251045176,204773.220634845,20187.574645751,,=A43*C43,=G43,=N43+M43
