scenario,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
0,98.06,65.48,-610.757499165035,172845.93839929,3587.49436039269,180.090859514768,,-756.719072351804,194172.136665921,19103.0425458542,,=A4*C4,=G4,=N4+M4
0.5,100.66,57.54,-700.45905736686,190561.663616775,5724.86328235063,180.812700063459,,-843.102410471968,212569.37833642,22427.4817165424,,=A5*C5,=G5,=N5+M5
1,101.42,47.22,-741.716010387325,196969.106260982,7320.02092992624,149.811125548057,,-850.691813621545,215741.696390033,22015.812976957,,=A6*C6,=G6,=N6+M6
1.5,99.68,36,-714.275903377531,187717.634370112,8902.07142527855,108.822633174275,,-783.163134982649,201882.066209118,20145.3024845495,,=A7*C7,=G7,=N7+M7
2,99.48,30.64,-801.52810425034,210251.521216459,10644.3856924379,109.098785528139,,-874.887046963839,223681.407420204,22175.9068372674,,=A8*C8,=G8,=N8+M8
2.5,101.08,25.9,-770.836702988412,199189.657331814,12047.6030015508,98.6874915212763,,-837.608879126202,210300.021369713,21641.7460774488,,=A9*C9,=G9,=N9+M9
3,101.62,21.22,-832.987442328026,217274.707209945,14692.9088408312,95.8552506954489,,-902.673334692299,227777.620060915,23923.801212683,,=A10*C10,=G10,=N10+M10
3.5,99.56,14.72,-735.158941527016,191530.007362127,13454.9806903043,65.2812789225453,,-780.264332880434,198516.960287974,19635.2031387649,,=A11*C11,=G11,=N11+M11
4,99.24,13.48,-833.848778586128,218674.324407497,15993.06154158,67.1375548842601,,-884.243696998867,225789.504351677,22532.6288464727,,=A12*C12,=G12,=N12+M12
4.5,100.18,11.68,-795.634623079586,206881.157305356,16099.5584073587,56.8755820719603,,-837.812104126906,212700.341422304,21580.0960535838,,=A13*C13,=G13,=N13+M13
5,100.36,9.38,-790.129447067163,207367.437033978,16672.2629984338,50.3936517901683,,-829.773153955066,212671.802473854,21562.9459284792,,=A14*C14,=G14,=N14+M14
5.5,100.82,7.96,-780.965430767174,205168.72839416,16966.6568593438,45.9094329687767,,-818.298939792366,209367.209117312,20939.2907099206,,=A15*C15,=G15,=N15+M15
6,100.38,7.28,-836.110800556074,218819.536867056,18250.5946902911,47.1437601216494,,-877.155765784734,223041.778266485,22143.322244044,,=A16*C16,=G16,=N16+M16
6.5,100.02,6.34,-786.479498395495,204609.50048401,17707.7777582865,53.8361658676123,,-835.279006394817,208189.247766884,21115.5233038078,,=A17*C17,=G17,=N17+M17
7,98.3,5.02,-789.121884933869,207357.575918055,17211.9697981845,36.0246134904274,,-820.757115925159,210178.060309916,19932.6395761409,,=A18*C18,=G18,=N18+M18
7.5,98.16,5.34,-806.854137760895,209668.076006538,17928.5232454281,42.9321481606323,,-845.924947282952,212921.704779381,20989.4761881801,,=A19*C19,=G19,=N19+M19
8,101.24,4.14,-750.280147069013,194197.321988209,18209.6615463692,28.9821138073976,,-776.043371371718,196347.790026352,20336.4609778496,,=A20*C20,=G20,=N20+M20
