Scenario ,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
toll,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d,,profit,user benefit,system
14.5,98.8,3.26,-1239.63049070289,327051.354183825,28526.1475872279,45.3181779713814,,-1284.39858195599,330508.694193309,31846.3875967118,,47.27,45.3181779713814,92.5881779713814
15,101.98,3.74,-1237.97560505635,321722.189675084,29726.7755767862,60.8725707602745,,-1297.97548499958,325661.018831953,33630.0116881095,,56.1,60.8725707602745,116.972570760275
15.5,99.7,3.28,-1239.20766116193,323305.137735587,29198.3785046642,65.6164024880163,,-1304.09950670576,327016.0112386,32812.6698177677,,50.84,65.6164024880163,116.456402488016
16,100.02,3.08,-1244.15893293821,324747.096999923,29132.8097463177,55.515475620367,,-1298.90046834295,328240.958217776,32580.4493825924,,49.28,55.515475620367,104.795475620367
16.5,99.5,3.1,-1223.1944802008,317823.300699119,28762.3852601181,38.997306216402,,-1261.31653819307,321070.707093129,31985.372806018,,51.15,38.997306216402,90.147306216402
17,100.2,2.66,-1240.47715949907,323915.022983552,29831.0589358533,38.9975448109044,,-1279.11661652314,326935.024442643,32767.960394944,,45.22,38.9975448109044,84.2175448109044
17.5,100.56,2.86,-1264.35963098116,328573.935715713,29898.8659735844,41.5551769037897,,-1305.46198378035,331865.707873413,33097.686766931,,50.05,41.5551769037897,91.6051769037897
18,100.66,2.88,-1236.74395530473,320586.910275664,29421.1732550911,46.9373130523354,,-1282.97806907934,323505.835673667,32340.0986530941,,51.84,46.9373130523354,98.7773130523354
18.5,98.48,2.66,-1309.8931306122,342239.013254384,31675.2332768898,42.0378088397025,,-1351.73812150028,345296.996375721,34648.6163982273,,49.21,42.0378088397025,91.2478088397025
19,99.5,2.5,-1260.2733800235,326133.690753082,30999.4088725489,36.9713109398497,,-1296.46654263244,328874.771172611,33700.8892920781,,47.5,36.9713109398497,84.4713109398497
19.5,100.9,2.34,-1228.13156737455,317720.517980735,29582.6932207978,35.165609244452,,-1262.79715449241,320013.958696208,31847.6339362704,,45.63,35.165609244452,80.795609244452
