workbook,sheet,cell,formula,cached_or_converted_value
14nov.xls,toll,AO12,=AM12*E12+AN12*D12,-0.110796982461562
14nov.xls,toll,AP12,=AL12*D12,0
14nov.xls,toll,AR12,=AN12*D12,0
14nov.xls,toll,AS12,=AH12-AR12,0
14nov.xls,toll,A13,=A12+1,4
14nov.xls,toll,B13,"=IF(A13<$N$4/3,0.1,(IF(A13>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C13,=RAND(),0.99927925191944
14nov.xls,toll,D13,"=IF((C13>$M$2),1,0)",1
14nov.xls,toll,E13,=1-D13,0
14nov.xls,toll,F13,=RAND(),0.951329613705517
14nov.xls,toll,G13,=7.75+F13*10,17.2632961370552
14nov.xls,toll,H13,"=LOGINV(F13,2.64,1.139)",92.6038293551123
14nov.xls,toll,J13,=-LN(RAND())/B13,27.7663752190699
14nov.xls,toll,K13,=K12+J13,34.4230611199703
14nov.xls,toll,L13,=(1/$J$4)*(1+AB12),10
14nov.xls,toll,M13,"=L13+MAX(K13,Y$10:Y12)",44.4230611199703
14nov.xls,toll,N13,=K13,34.4230611199703
14nov.xls,toll,O13,=M13-K13,10
14nov.xls,toll,P13,=N13-K13,0
14nov.xls,toll,Q13,"=A13-MATCH(K13,$M$9:M12,1)",0
14nov.xls,toll,R13,=-G13*(O13/3600),-0.0479536003807088
14nov.xls,toll,S13,=-1*I13-(H13*(P13/3600)),-19.5
14nov.xls,toll,T13,=-H13*(O13/3600),-0.257232859319757
14nov.xls,toll,U13,=T13-S13,19.2427671406802
14nov.xls,toll,V13,=1/(1+EXP(U13)),4.39513695355923e-09
14nov.xls,toll,W13,=RAND(),0.583919212126737
14nov.xls,toll,X13,"=IF(W13<V13,1,0)",0
14nov.xls,toll,Y13,=(M13*(1-X13)+N13*X13)*D13+M13*E13,44.4230611199703
14nov.xls,toll,Z13,=((1-X13)*O13+X13*P13)*D13+E13*O13,10
14nov.xls,toll,AA13,"=IF(D13*X13>0,AA12,Q13)",0
14nov.xls,toll,AB13,=(X13*D13),0
14nov.xls,toll,AC13,=SUM(AB$10:AB12)/K13,0
14nov.xls,toll,AD13,=R13*E13+D13*(X13*S13+(1-X13)*T13),-0.257232859319757
14nov.xls,toll,AE13,=Z13,10
14nov.xls,toll,AF13,=E13*O13,0
14nov.xls,toll,AG13,=((1-X13)*O13+X13*P13)*D13,10
14nov.xls,toll,AH13,=D13*(LN(EXP(S13)+EXP(T13))),-0.25723285492462
14nov.xls,toll,AJ13,=$J$5,10
14nov.xls,toll,AK13,"=AJ13+MAX(K13,AK$10:AK12)",44.4230611199703
14nov.xls,toll,AL13,=AK13-K13,10
14nov.xls,toll,AM13,=-G13*AL13/3600,-0.0479536003807088
14nov.xls,toll,AN13,=-H13*AL13/3600,-0.257232859319757
14nov.xls,toll,AO13,=AM13*E13+AN13*D13,-0.257232859319757
14nov.xls,toll,AP13,=AL13*D13,10
14nov.xls,toll,AR13,=AN13*D13,-0.257232859319757
14nov.xls,toll,AS13,=AH13-AR13,4.39513692107596e-09
14nov.xls,toll,A14,=A13+1,5
14nov.xls,toll,B14,"=IF(A14<$N$4/3,0.1,(IF(A14>2*$N$4/3,0.05,0.12)))",0.1
14nov.xls,toll,C14,=RAND(),0.0133591415841198
14nov.xls,toll,D14,"=IF((C14>$M$2),1,0)",0
14nov.xls,toll,E14,=1-D14,1
14nov.xls,toll,F14,=RAND(),0.374069917923781
14nov.xls,toll,G14,=7.75+F14*10,11.4906991792378
14nov.xls,toll,H14,"=LOGINV(F14,2.64,1.139)",9.72086838231276
14nov.xls,toll,J14,=-LN(RAND())/B14,22.881385700768
14nov.xls,toll,K14,=K13+J14,57.3044468207383
14nov.xls,toll,L14,=(1/$J$4)*(1+AB13),10
