,tolled,,,,,,,,,
,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d
,94,1,-587.609382815455,147177.208779751,16907.7655833028,3.60948032968099,,-591.05944864617,147854.679305261,17585.236108813
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
iter,trucks,tolled units,utility,delay ,truckes-d,CS,,utility,delay,truckers-d
1,123,0,-616.385421357698,142914.861448777,17509.4270027745,0.00179491464926703,,-616.385421357698,142914.861448777,17509.4270027745
2,102,1,-672.821555603442,172574.8886488,17320.4916902863,5.07651672724203,,-677.884925189075,173019.09446538,17764.6975068665
3,106,0,-512.950460966757,136808.001924919,14791.9326004056,1.02593958319101e-05,,-512.950460966757,136808.001924919,14791.9326004056
4,98,2,-1180.99529468296,306614.568624534,26377.6172844503,43.9917624324857,,-1224.98699040185,308222.509996415,27985.558656331
5,104,0,-515.596747054378,136937.866355455,15804.437997414,2.49655514506218e-05,,-515.596747054378,136937.866355455,15804.437997414
6,90,1,-1019.11141090416,264465.794894902,22254.2503663354,6.41795254216063,,-1025.52382641539,265028.185087599,22816.6405590325
7,94,0,-381.847371559741,96597.612417342,9994.89080172602,1.19580898701394e-05,,-381.847371559741,96597.612417342,9994.89080172602
8,114,1,-777.754781040634,192882.405676221,23684.6170247735,20.9657801243552,,-798.71979761708,193456.88092447,24259.0922730221
9,110,1,-889.782098764855,234323.756973635,25800.9922594996,7.56245377001199,,-897.343387587726,234923.859168876,26401.0944547403
10,92,0,-473.889594912513,127500.149582231,12258.1749606239,2.27391277595086e-06,,-473.889594912513,127500.149582231,12258.1749606239
11,97,2,-591.000299549997,141882.318913583,11383.2640367673,19.0980485637478,,-609.538279313497,142950.876983601,12451.8221067851
12,101,0,-862.781692590446,229343.789425746,21601.6470549846,0.0186310607128047,,-862.781692590446,229343.789425746,21601.6470549846
13,110,2,-840.264108079101,210371.17663898,23179.4747122905,131.176314210695,,-971.033423544572,211853.091382278,24661.3894555885
14,96,0,-443.234489863576,109532.170082885,11735.5491777107,0.0418186874525561,,-443.234489863576,109532.170082885,11735.5491777107
15,100,0,-709.437885371909,186586.571918901,17901.9511353465,0.211786591259439,,-709.437885371909,186586.571918901,17901.9511353465
16,88,0,-834.84830649958,223342.683359143,19208.8381973271,0.000148905596148241,,-834.84830649958,223342.683359143,19208.8381973271
17,99,1,-757.29284722146,184803.685614665,15842.7596084247,12.3632980751664,,-769.637780033982,185345.809056273,16384.8830500322
18,84,0,-260.821869529121,70687.5248143471,6660.95660845594,2.57062108180439e-06,,-260.821869529121,70687.5248143471,6660.95660845594
19,110,0,-962.553123736918,251532.428710552,28038.0914579008,0.00700344733277415,,-962.553123736918,251532.428710552,28038.0914579008
20,96,2,-772.334815531778,184331.366701561,16083.3321686346,14.1508611948826,,-784.938662640436,185383.785436293,17135.7509033657
21,90,0,-690.406183699456,192359.130605505,15970.1850430485,1.18599644035374e-06,,-690.406183699456,192359.130605505,15970.1850430485
22,94,0,-537.753611655565,145495.122721074,12372.0038903068,0.0130195987366577,,-537.753611655565,145495.122721074,12372.0038903068
23,102,3,-1330.27516868599,346409.896663074,31019.793126636,16.4077078735208,,-1345.1075969932,349176.636117557,33786.5325811189
24,97,0,-501.383167755297,126234.276373805,12815.883777631,0.0493610555343362,,-501.383167755297,126234.276373805,12815.883777631
25,104,2,-986.953375548718,242077.965310058,20228.3941028711,13.7533287221407,,-1000.69084809738,243863.303866607,22013.7326594205
26,95,2,-587.640155953916,150745.270250696,13911.9653610384,50.1428078947233,,-637.782821418382,151834.367945064,15001.0630554063
27,82,0,-613.754873637959,162579.420588894,12264.7418578368,0.000921024558811582,,-613.754873637959,162579.420588894,12264.7418578368
28,104,0,-446.328931062468,115936.851955092,13759.1635997405,0.000161914886094177,,-446.328931062468,115936.851955092,13759.1635997405
29,93,2,-1296.446211437,332765.65909204,26490.0484279456,9.40972915409783,,-1305.56989267186,334126.029151487,27850.4184873924
30,110,2,-932.026637274607,232153.857027951,22212.5690438916,23.4286825622601,,-955.440783558601,233176.94770927,23235.6597252105
31,104,1,-556.176224408359,141652.822588704,13218.8576523979,18.2119768142454,,-574.387998054808,142116.177626548,13682.2126902422
32,125,0,-887.692212211856,230280.327612299,26067.8109415828,0.0044165012894853,,-887.692212211856,230280.327612299,26067.8109415828
33,105,2,-781.738905017911,193591.406662085,23281.2009002005,15.4410852821537,,-797.144724738351,195149.571988707,24839.3662268223
34,100,2,-1236.67339742737,313619.925565425,24258.5572374308,26.6914413992303,,-1263.342686279,315153.36067535,25791.9923473559
35,105,0,-818.064302994673,214232.504808052,19873.3713539207,0.000887676914344001,,-818.064302994673,214232.504808052,19873.3713539207
36,95,0,-753.776668169006,192949.22467864,16873.3866539272,0.000284590618928215,,-753.776668169006,192949.22467864,16873.3866539272
37,110,2,-907.620088827473,235384.047381669,25289.6749507534,1.91538599091356,,-906.861443948598,236510.85587304,26416.4834421244
38,99,0,-1020.50942552319,279568.877148804,29559.236761847,0.000198157009578399,,-1020.50942552319,279568.877148804,29559.236761847
39,106,0,-583.787658031188,143366.308512397,13280.2447379618,0.00222897061777925,,-583.787658031187,143366.308512397,13280.2447379618
40,101,0,-505.357359693605,130980.093401866,13804.1778725383,0.000543837912425598,,-505.357359693605,130980.093401866,13804.1778725383
41,109,0,-726.741804799263,183482.412913005,21693.496443577,0.0229853374285172,,-726.741804799263,183482.412913005,21693.496443577
42,110,2,-562.080618139571,131986.260531685,12754.3389758024,62.1931326345483,,-624.252403956465,133140.510091807,13908.5885359247
43,111,2,-799.624823586765,198073.37179843,22170.4138300755,16.6387053735273,,-816.254010806581,199242.98109469,23340.0231263356
44,107,0,-699.036335281058,171704.201974346,14837.4848936889,0.00858514785973698,,-699.036335281058,171704.201974346,14837.4848936889
45,107,0,-532.268461119923,143432.561706606,16321.2848858598,0.000123585571939316,,-532.268461119923,143432.561706606,16321.2848858598
46,102,1,-1048.31585587059,271225.644801886,25874.7573716716,2.75829099739255,,-1050.99225373715,272032.731873679,26681.8444434639
47,102,1,-1097.48822732477,290593.596880942,30431.8279665821,24.1688946647341,,-1121.65699608496,291604.270600206,31442.5016858465
48,100,0,-727.528186913115,188892.479358929,17311.8500426897,0.152145847663123,,-727.528186913115,188892.479358929,17311.8500426897
49,109,0,-956.729072860192,243995.554739029,25610.4166809922,1.79071692240855,,-956.729072860192,243995.554739029,25610.4166809922
50,110,0,-502.05344591197,126191.139359659,14401.3079605339,0.000836845645102688,,-502.05344591197,126191.139359659,14401.3079605339
,,,,,,,,,,
,,,,,,,,,,
mean,102.04,0.74,-754.038711312877,193519.876714797,18907.8228498222,10.8858562167892,,-764.732203957027,194015.51971227,19403.4658472956
stdev,8.62118889476293,0.921622349502246,244.029875092644,63837.9765848931,5985.24895138031,22.1935510681914,,249.175784507517,64219.6532684353,6324.48317298904
