free way conditions,,,,,,,,,,,%vehicles,,total,,,statistix,,,max,,,CS,3.60948032968099,,,,,,,,,,,,,,,,total d,147854.679305261,,,,
,max,current,,freeway flow,,ramp meter rate,,by pass rate,,,car,0.9,906,,,toll veh,1,,q,67,,,,,,,,,,,,,,,,,,,total u,-591.05944864617,,,,
speed,65,25,,Q,,q1,,q2,,,truck,0.1,94,,,total u,-587.609382815455,,delay,672.096790023004,,,,,,,,,,,,,,,,,,,trucks-d,17585.236108813,,,,
density,120,75,,,,,,q1+q2,0.1,vps,,,1000,,,total delay,147177.208779751,,avg-q,14.232,,,,,,,,,,,,,,,,,,,,,,,,
# lanes,3,,,,,service time (max) (sec),,,10,,,,,,,(trucks),16907.7655833028,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d-nothing,,,,,,,,,
,,,,,,Value of Time($),,,,,ramp-meter,expected departure,,expected delay,,ramp,,Utility ,,,,,,,,,,,,,,,,,,expected,expected,utilities,,Utility ,trucks,,,
veh #,avg-h,rnd,truck tag,car tag,rnd,Car,truck,toll, headway,arrival time,service time,ramp,bypass,ramp,bypass,queue#,car,tolled,untolled,util diff,prob,rand,choice,departure,delay,actual q#,toll trucks,q2 (vps), util (veh),total (delay),delay(cars),delay(trucks),CS (toll),,service time,departure,delay,car,truck, util (veh),delay,,CS (dn),delta(CS)
11,0.1,0.549720385441204,0,1,0.159474485009346,9.34474485009346,4.50347699051634,19.5,0.313729688454185,107.494829826609,10,140.738410700958,107.494829826609,33.2435808743496,0,3,-0.0862924392150678,-19.5,-0.0415865837638895,19.4584134162361,3.54256987503161e-09,0.368233476429729,0,140.738410700958,33.2435808743496,3,0,0,-0.0862924392150678,33.2435808743496,33.2435808743496,0,0,,10,140.738410700958,33.2435808743496,-0.0862924392150678,-0.0415865837638895,-0.0862924392150678,0,,0,0
12,0.1,0.787595225574059,0,1,0.653059175164853,14.2805917516485,21.9397985610395,19.5,3.01457434299491,110.509404169603,10,150.738410700958,110.509404169603,40.2290065313547,0,4,-0.159581671902411,-19.5,-0.24517119433574,19.2548288056643,4.34244271327797e-09,0.300469656176597,0,150.738410700958,40.2290065313547,4,0,0,-0.159581671902411,40.2290065313547,40.2290065313547,0,0,,10,150.738410700958,40.2290065313547,-0.159581671902411,-0.24517119433574,-0.159581671902411,0,,0,0
13,0.1,0.996709349961232,1,0,0.0453057338759198,8.2030573387592,2.03929842449815,19.5,4.1287701380783,114.638174307682,10,160.738410700958,114.638174307682,46.1002363932764,0,4,-0.105045245129,-19.5,-0.0261144831793891,19.4738855168206,3.48818072002257e-09,0.735865615061746,0,160.738410700958,46.1002363932764,4,0,0,-0.0261144831793891,46.1002363932764,0,46.1002363932764,-0.0261144796912084,,10,160.738410700958,46.1002363932764,-0.105045245129,-0.0261144831793891,-0.0261144831793891,46.1002363932764,,-0.0261144831793891,3.48818069914603e-09
14,0.1,0.585028114861453,0,1,0.510686090335574,12.8568609033557,14.447378324614,19.5,6.06301162881979,120.701185936502,10,170.738410700958,120.701185936502,50.0372247644566,0,5,-0.17870045521849,-19.5,-0.200807421246069,19.2991925787539,4.15400634974508e-09,0.524122795997268,0,170.738410700958,50.0372247644566,5,0,0,-0.17870045521849,50.0372247644566,50.0372247644566,0,0,,10,170.738410700958,50.0372247644566,-0.17870045521849,-0.200807421246069,-0.17870045521849,0,,0,0
15,0.1,0.0809424735609875,0,1,0.0170276965177447,7.92027696517745,1.25355821924738,19.5,2.35276771287718,123.053953649379,10,180.738410700958,123.053953649379,57.6844570515794,0,5,-0.126910243453998,-19.5,-0.0200863403499527,19.47991365965,3.46721671897991e-09,0.0959694098549971,0,180.738410700958,57.6844570515794,5,0,0,-0.126910243453998,57.6844570515794,57.6844570515794,0,0,,10,180.738410700958,57.6844570515794,-0.126910243453998,-0.0200863403499527,-0.126910243453998,0,,0,0
16,0.1,0.443043358183256,0,1,0.926614326987691,17.0161432698769,73.1654874738253,19.5,1.51043603678037,124.564389686159,10,190.738410700958,124.564389686159,66.174021014799,0,6,-0.312785172869907,-19.5,-1.34490402934748,18.1550959706525,1.30419339330595e-08,0.481548055953517,0,190.738410700958,66.174021014799,6,0,0,-0.312785172869907,66.174021014799,66.174021014799,0,0,,10,190.738410700958,66.174021014799,-0.312785172869907,-1.34490402934748,-0.312785172869907,0,,0,0
17,0.1,0.937182915727206,1,0,0.444832007526727,12.1983200752673,11.9650183723402,19.5,4.66287323810976,129.227262924269,10,200.738410700958,129.227262924269,71.5111477766893,0,7,-0.242309963758276,-19.5,-0.237675610270895,19.2623243897291,4.31001525221893e-09,0.794823582266843,0,200.738410700958,71.5111477766893,7,0,0,-0.237675610270895,71.5111477766893,0,71.5111477766893,-0.23767560596088,,10,200.738410700958,71.5111477766893,-0.242309963758276,-0.237675610270895,-0.237675610270895,71.5111477766893,,-0.237675610270895,4.31001517808838e-09
18,0.1,0.215872915446272,0,1,0.992331488118167,17.6733148811817,221.694900363659,19.5,25.9720779987054,155.199340922974,10,210.738410700958,155.199340922974,55.5390697779839,0,5,-0.272655407887286,-19.5,-3.42020237242235,16.0797976275776,1.03904073724512e-07,0.400078565144771,0,210.738410700958,55.5390697779839,5,0,0,-0.272655407887286,55.5390697779839,55.5390697779839,0,0,,10,210.738410700958,55.5390697779839,-0.272655407887286,-3.42020237242235,-0.272655407887286,0,,0,0
19,0.1,0.462651299631462,0,1,0.461666237921579,12.3666623792158,12.5583557900498,19.5,3.5599681384988,158.759309061473,10,220.738410700958,158.759309061473,61.9791016394851,0,6,-0.212909617928503,-19.5,-0.216209891648975,19.283790108351,4.21848358902647e-09,0.612815965293601,0,220.738410700958,61.9791016394851,6,0,0,-0.212909617928503,61.9791016394851,61.9791016394851,0,0,,10,220.738410700958,61.9791016394851,-0.212909617928503,-0.216209891648975,-0.212909617928503,0,,0,0
20,0.1,0.490311024388992,0,1,0.926749844872631,17.0174984487263,73.246707986339,19.5,14.1675717050404,172.926880766513,10,230.738410700958,172.926880766513,57.8115299344447,0,5,-0.273279894716085,-19.5,-1.17625118093105,18.323748819069,1.10178535476138e-08,0.983342238430261,0,230.738410700958,57.8115299344447,5,0,0,-0.273279894716085,57.8115299344447,57.8115299344447,0,0,,10,230.738410700958,57.8115299344447,-0.273279894716085,-1.17625118093105,-0.273279894716085,0,,0,0
